,criterion,nEstimators,maxDepth,accuracy
399,gini,130.0,20.0,0.7966292134831461
400,gini,140.0,5.0,0.8213483146067416
401,gini,140.0,6.0,0.7921348314606742
402,gini,140.0,7.0,0.8089887640449438
403,gini,140.0,8.0,0.802247191011236
404,gini,140.0,9.0,0.8179775280898877
405,gini,140.0,10.0,0.8224719101123595
406,gini,140.0,11.0,0.8089887640449438
407,gini,140.0,12.0,0.801123595505618
408,gini,140.0,13.0,0.7955056179775281
409,gini,140.0,14.0,0.802247191011236
410,gini,140.0,15.0,0.8089887640449438
411,gini,140.0,16.0,0.7887640449438202
412,gini,140.0,17.0,0.801123595505618
413,gini,140.0,18.0,0.7685393258426967
414,gini,140.0,19.0,0.8044943820224718
415,gini,140.0,20.0,0.8022471910112359
416,gini,150.0,5.0,0.8213483146067416
417,gini,150.0,6.0,0.8202247191011237
418,gini,150.0,7.0,0.8146067415730338
419,gini,150.0,8.0,0.802247191011236
420,gini,150.0,9.0,0.80561797752809
421,gini,150.0,10.0,0.7898876404494383
422,gini,150.0,11.0,0.8067415730337079
423,gini,150.0,12.0,0.8258426966292134
424,gini,150.0,13.0,0.8078651685393258
425,gini,150.0,14.0,0.7707865168539326
426,gini,150.0,15.0,0.8089887640449438
427,gini,150.0,16.0,0.8078651685393259
428,gini,150.0,17.0,0.8
429,gini,150.0,18.0,0.7910112359550562
430,gini,150.0,19.0,0.7955056179775281
431,gini,150.0,20.0,0.7955056179775281
432,gini,160.0,5.0,0.8146067415730338
433,gini,160.0,6.0,0.8089887640449438
434,gini,160.0,7.0,0.8213483146067416
435,gini,160.0,8.0,0.8224719101123596
436,gini,160.0,9.0,0.8146067415730336
437,gini,160.0,10.0,0.7943820224719101
438,gini,160.0,11.0,0.7932584269662921
439,gini,160.0,12.0,0.80561797752809
440,gini,160.0,13.0,0.7662921348314607
441,gini,160.0,14.0,0.7853932584269663
442,gini,160.0,15.0,0.7898876404494383
443,gini,160.0,16.0,0.7988764044943821
444,gini,160.0,17.0,0.7988764044943821
445,gini,160.0,18.0,0.7910112359550562
446,gini,160.0,19.0,0.7955056179775281
447,gini,160.0,20.0,0.7865168539325842
448,gini,170.0,5.0,0.8292134831460674
449,gini,170.0,6.0,0.8056179775280897
450,gini,170.0,7.0,0.7921348314606742
451,gini,170.0,8.0,0.80561797752809
452,gini,170.0,9.0,0.8123595505617978
453,gini,170.0,10.0,0.8337078651685392
454,gini,170.0,11.0,0.7898876404494383
455,gini,170.0,12.0,0.79438202247191
456,gini,170.0,13.0,0.8191011235955056
457,gini,170.0,14.0,0.8123595505617978
458,gini,170.0,15.0,0.7921348314606741
459,gini,170.0,16.0,0.8157303370786517
460,gini,170.0,17.0,0.797752808988764
461,gini,170.0,18.0,0.7741573033707866
462,gini,170.0,19.0,0.8191011235955056
463,gini,170.0,20.0,0.7808988764044944
464,gini,180.0,5.0,0.8191011235955056
465,gini,180.0,6.0,0.8123595505617978
466,gini,180.0,7.0,0.8123595505617978
467,gini,180.0,8.0,0.804494382022472
468,gini,180.0,9.0,0.8235955056179775
469,gini,180.0,10.0,0.7876404494382022
470,gini,180.0,11.0,0.7887640449438201
471,gini,180.0,12.0,0.7876404494382022
472,gini,180.0,13.0,0.7887640449438201
473,gini,180.0,14.0,0.801123595505618
474,gini,180.0,15.0,0.7932584269662921
475,gini,180.0,16.0,0.8033707865168539
476,gini,180.0,17.0,0.7685393258426967
477,gini,180.0,18.0,0.7966292134831461
478,gini,180.0,19.0,0.797752808988764
479,gini,180.0,20.0,0.7966292134831461
480,gini,190.0,5.0,0.8191011235955056
481,gini,190.0,6.0,0.80561797752809
482,gini,190.0,7.0,0.798876404494382
483,gini,190.0,8.0,0.8044943820224718
484,gini,190.0,9.0,0.7977528089887641
485,gini,190.0,10.0,0.7921348314606742
486,gini,190.0,11.0,0.8067415730337079
487,gini,190.0,12.0,0.8033707865168539
488,gini,190.0,13.0,0.7943820224719101
489,gini,190.0,14.0,0.7741573033707864
490,gini,190.0,15.0,0.7853932584269663
491,gini,190.0,16.0,0.7853932584269663
492,gini,190.0,17.0,0.79438202247191
493,gini,190.0,18.0,0.8134831460674157
494,gini,190.0,19.0,0.7876404494382022
495,gini,190.0,20.0,0.7910112359550562
496,gini,200.0,5.0,0.8157303370786517
497,gini,200.0,6.0,0.8022471910112359
498,gini,200.0,7.0,0.8213483146067416
499,gini,200.0,8.0,0.8067415730337079
500,gini,200.0,9.0,0.8134831460674159
501,gini,200.0,10.0,0.7898876404494383
502,gini,200.0,11.0,0.8078651685393258
503,gini,200.0,12.0,0.7685393258426967
504,gini,200.0,13.0,0.8146067415730336
505,gini,200.0,14.0,0.7865168539325842
506,gini,200.0,15.0,0.7730337078651686
507,gini,200.0,16.0,0.8112359550561798
508,gini,200.0,17.0,0.7955056179775281
509,gini,200.0,18.0,0.8033707865168539
510,gini,200.0,19.0,0.7988764044943821
511,gini,200.0,20.0,0.797752808988764
